,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,,Packers,Robert Brooks 13 yard pass from Brett Favre (Chris Jacke kick),7,0
1,1.0,,Vikings,Jake Reed 26 yard pass from Warren Moon (Scott Sisson kick),7,7
2,2.0,,Vikings,Qadry Ismail 20 yard pass from Warren Moon (Scott Sisson kick),7,14
3,3.0,,Vikings,Scott Sisson 35 yard field goal,7,17
4,3.0,,Packers,Don Beebe 80 yard pass from Brett Favre (Chris Jacke kick),14,17
5,3.0,,Packers,George Koonce 75 yard interception return (Chris Jacke kick),21,17
6,4.0,,Vikings,Robert Smith 37 yard rush (Scott Sisson kick),21,24
7,4.0,,Vikings,Scott Sisson 44 yard field goal,21,27
8,4.0,,Vikings,Scott Sisson 33 yard field goal,21,30
