,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Charles Alexander 6 yard rush (Sandro Vitiello kick),7,0
1,2.0,Browns,Reggie Rucker 16 yard pass from Brian Sipe (Don Cockroft kick),7,7
2,2.0,Browns,Calvin Hill 5 yard pass from Brian Sipe (Don Cockroft kick),7,14
3,3.0,Browns,Greg Pruitt 2 yard pass from Brian Sipe (Don Cockroft kick),7,21
4,3.0,Browns,Ricky Feacher 55 yard pass from Brian Sipe (Don Cockroft kick),7,28
5,4.0,Browns,Don Cockroft 31 yard field goal,7,31
