,Quarter,Tm,Detail,GNB,TAM
0,1.0,Packers,Terdell Middleton 3 yard rush (Tom Birney kick),7,0
1,2.0,Buccaneers,Richard Wood 55 yard interception return (Garo Yepremian kick),7,7
2,2.0,Packers,Paul Coffman 6 yard pass from Lynn Dickey (Tom Birney kick),14,7
3,4.0,Buccaneers,Doug Williams 5 yard rush (Garo Yepremian kick),14,14
