,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,,49ers,Doug Brien 24 yard field goal,0,3
1,1.0,,Falcons,Bert Emanuel 11 yard pass from Jeff George (Norm Johnson kick),7,3
2,2.0,2:35,49ers,John Taylor 12 yard pass from Steve Young (Doug Brien kick),7,10
3,2.0,2:35,49ers,Steve Young 1 yard rush (Doug Brien kick),7,17
4,2.0,2:35,Falcons,Chuck Smith 36 yard interception return (Norm Johnson kick),14,17
5,2.0,2:35,49ers,Ricky Watters 2 yard pass from Steve Young (Doug Brien kick),14,24
6,2.0,2:35,49ers,Doug Brien 36 yard field goal,14,27
7,3.0,2:35,49ers,Steve Young 7 yard rush (Doug Brien kick),14,34
8,4.0,2:35,49ers,Jerry Rice 9 yard pass from Steve Young (run failed),14,40
9,4.0,2:35,49ers,Doug Brien 32 yard field goal,14,43
10,4.0,2:35,49ers,Adam Walker 2 yard rush (Doug Brien kick),14,50
