,Quarter,Time,Tm,Detail,GNB,SFO
0,1.0,6:01,49ers,Raheem Mostert 36 yard rush (Robbie Gould kick),0,7
1,2.0,15:00,49ers,Robbie Gould 54 yard field goal,0,10
2,2.0,9:17,49ers,Raheem Mostert 9 yard rush (Robbie Gould kick),0,17
3,2.0,2:00,49ers,Robbie Gould 27 yard field goal,0,20
4,2.0,0:50,49ers,Raheem Mostert 18 yard rush (Robbie Gould kick),0,27
5,3.0,8:49,Packers,Aaron Jones 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,27
6,3.0,4:56,49ers,Raheem Mostert 22 yard rush (Robbie Gould kick),7,34
7,4.0,14:45,Packers,Aaron Jones 1 yard rush (pass failed),13,34
8,4.0,8:21,Packers,Jace Sternberger 8 yard pass from Aaron Rodgers (Mason Crosby kick),20,34
9,4.0,3:36,49ers,Robbie Gould 42 yard field goal,20,37
