,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Jim Breech 37 yard field goal,0,3
1,2.0,Bengals,Rodney Holman 11 yard pass from Boomer Esiason (Jim Breech kick),0,10
2,2.0,Bengals,Robert Jackson 57 yard interception return (Jim Breech kick),0,17
3,2.0,Steelers,Louis Lipps 49 yard pass from David Woodley (Gary Anderson kick),7,17
4,3.0,Bengals,Jim Breech 39 yard field goal,7,20
5,3.0,Bengals,Jim Breech 40 yard field goal,7,23
6,3.0,Bengals,Jim Breech 32 yard field goal,7,26
7,4.0,Steelers,Louis Lipps 62 yard punt return (Gary Anderson kick),14,26
8,4.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),21,26
