,Quarter,Tm,Detail,KAN,BUF
0,1.0,Bills,George Jakowenko 30 yard field goal,0,3
1,1.0,Bills,Bob Chandler 1 yard pass from Joe Ferguson (George Jakowenko kick),0,10
2,1.0,Bills,Bob Chandler 5 yard pass from Joe Ferguson,0,16
3,2.0,Chiefs,Henry Marshall 31 yard pass from Tony Adams (Jan Stenerud kick),7,16
4,2.0,Bills,Bob Chandler 7 yard pass from Joe Ferguson (George Jakowenko kick),7,23
5,2.0,Chiefs,Jan Stenerud 33 yard field goal,10,23
6,3.0,Bills,Jeff Kinney 1 yard rush (George Jakowenko kick),10,30
7,3.0,Chiefs,Tommy Reamon 49 yard pass from Tony Adams (Jan Stenerud kick),17,30
8,4.0,Bills,O.J. Simpson 1 yard rush,17,36
9,4.0,Bills,O.J. Simpson 5 yard rush (George Jakowenko kick),17,43
10,4.0,Bills,Tony Greene 101 yard interception return (George Jakowenko kick),17,50
