,Quarter,Time,Tm,Detail,CLE,NWE
0,1,11:46,Patriots,Adam Vinatieri 27 yard field goal,0,3
1,2,0:24,Browns,Phil Dawson 29 yard field goal,3,3
2,3,3:36,Patriots,Adam Vinatieri 28 yard field goal,3,6
3,4,2:05,Patriots,Adam Vinatieri 38 yard field goal,3,9
