,Quarter,Tm,Detail,CLE,IND
0,1.0,Browns,Brian Brennan 14 yard pass from Bernie Kosar (Matt Bahr kick),7,0
1,1.0,Browns,Herman Fontenot 72 yard pass from Bernie Kosar (Matt Bahr kick),14,0
2,2.0,Colts,Dean Biasucci 40 yard field goal,14,3
3,3.0,Browns,Ozzie Newsome 9 yard pass from Bernie Kosar (Matt Bahr kick),21,3
4,3.0,Browns,Matt Bahr 38 yard field goal,24,3
5,4.0,Colts,Matt Bouza 6 yard pass from Jack Trudeau,24,9
