,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Roy Zimmerman 40 yard field goal,3,0
1,1.0,Rams,Tom Harmon 88 yard punt return (Bob Waterfield kick),3,7
2,2.0,Rams,Tom Harmon 26 yard interception return (Bob Waterfield kick),3,14
3,2.0,Lions,John Greene 10 yard pass from Roy Zimmerman (Roy Zimmerman kick),10,14
4,2.0,Rams,Jim Benton 27 yard pass from Jim Hardy (Bob Waterfield kick),10,21
5,3.0,Rams,Jim Benton 23 yard pass from Jim Hardy (Bob Waterfield kick),10,28
6,4.0,Lions,Bill Dudley 6 yard pass from Roy Zimmerman (Roy Zimmerman kick),17,28
