,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,10:16,Eagles,David Akers 49 yard field goal,0,3
1,1.0,6:41,Redskins,Mike Sellers 4 yard pass from Mark Brunell (John Hall kick),7,3
2,1.0,0:33,Eagles,Reggie Brown 33 yard pass from Mike McMahon (David Akers kick),7,10
3,2.0,6:05,Eagles,Reggie Brown 8 yard pass from Mike McMahon (David Akers kick),7,17
4,2.0,1:01,Redskins,John Hall 25 yard field goal,10,17
5,3.0,11:46,Redskins,Clinton Portis 2 yard rush (John Hall kick),17,17
6,3.0,8:52,Eagles,David Akers 35 yard field goal,17,20
7,4.0,12:19,Redskins,Clinton Portis 22 yard rush (John Hall kick),24,20
8,4.0,2:16,Redskins,Sean Taylor 39 yard defensive fumble return (John Hall kick),31,20
