,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,Steve Largent 17 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Broncos,Jesse Myles 13 yard pass from Steve DeBerg (Rich Karlis kick),7,7
2,2.0,Seahawks,Norm Johnson 37 yard field goal,7,10
3,3.0,Seahawks,Pete Metzelaars 5 yard pass from Dave Krieg (Norm Johnson kick),7,17
4,4.0,Seahawks,Paul Johns 18 yard pass from Dave Krieg (Norm Johnson kick),7,24
5,4.0,Seahawks,David Hughes 2 yard rush (Norm Johnson kick),7,31
