,Quarter,Time,Tm,Detail,CAR,PHI
0,1.0,7:02,Panthers,Steve Smith 9 yard pass from Jake Delhomme (John Kasay kick),7,0
1,2.0,2:12,Eagles,Brian Westbrook 8 yard pass from Jeff Garcia (David Akers kick),7,7
2,2.0,0:04,Panthers,Keyshawn Johnson 1 yard pass from Jake Delhomme (John Kasay kick),14,7
3,3.0,8:49,Eagles,Donte' Stallworth 30 yard pass from Jeff Garcia (David Akers kick),14,14
4,3.0,5:08,Panthers,DeAngelo Williams 35 yard pass from Jake Delhomme (John Kasay kick),21,14
5,4.0,14:12,Eagles,David Akers 28 yard field goal,21,17
6,4.0,11:08,Panthers,John Kasay 45 yard field goal,24,17
7,4.0,9:26,Eagles,Reggie Brown 40 yard pass from Jeff Garcia (David Akers kick),24,24
8,4.0,3:13,Eagles,David Akers 25 yard field goal,24,27
