,Quarter,Tm,Detail,TAM,DET
0,1.0,Buccaneers,David Logan 60 yard defensive fumble return (Garo Yepremian kick),7,0
1,1.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),7,7
2,2.0,Lions,Ray Williams 22 yard pass from Gary Danielson (Eddie Murray kick),7,14
3,3.0,Lions,Eddie Murray 24 yard field goal,7,17
4,4.0,Lions,Eddie Murray 25 yard field goal,7,20
5,4.0,Buccaneers,Kevin House 32 yard pass from Doug Williams (Garo Yepremian kick),14,20
6,4.0,Lions,Ray Williams 91 yard kickoff return (Eddie Murray kick),14,27
