,Quarter,Tm,Detail,BAL,NWE
0,1.0,Colts,Tom Matte 2 yard rush (Jim O'Brien kick),7,0
1,1.0,Colts,Don Nottingham 1 yard rush (Jim O'Brien kick),14,0
2,2.0,Patriots,Charlie Gogolak 34 yard field goal,14,3
3,2.0,Colts,Jim O'Brien 42 yard field goal,17,3
4,4.0,Colts,Jim O'Brien 41 yard field goal,20,3
5,4.0,Colts,Jim O'Brien 50 yard field goal,23,3
