,Quarter,Tm,Detail,GNB,NYJ
0,1.0,Packers,Phil Epps 24 yard pass from Lynn Dickey,6,0
1,1.0,Jets,Lam Jones 23 yard pass from Richard Todd,6,6
2,2.0,Packers,Phil Epps 23 yard pass from Lynn Dickey (Jan Stenerud kick),13,6
3,3.0,Jets,Mike Augustyniak 4 yard rush,13,12
4,3.0,Jets,Pat Leahy 25 yard field goal,13,15
