,Quarter,Time,Tm,Detail,ATL,NYJ
0,1.0,10:33,Jets,Eric Tomlinson 20 yard pass from Josh McCown (Chandler Catanzaro kick),0,7
1,1.0,5:03,Falcons,Austin Hooper 1 yard pass from Matt Ryan (Matt Bryant kick),7,7
2,2.0,14:03,Jets,Chandler Catanzaro 43 yard field goal,7,10
3,2.0,8:06,Falcons,Matt Bryant 23 yard field goal,10,10
4,2.0,2:26,Jets,Robby Anderson 24 yard pass from Josh McCown (Chandler Catanzaro kick),10,17
5,2.0,0:00,Falcons,Matt Bryant 45 yard field goal,13,17
6,3.0,5:12,Falcons,Matt Bryant 37 yard field goal,16,17
7,4.0,12:22,Falcons,Mohamed Sanu 8 yard pass from Matt Ryan (run failed),22,17
8,4.0,8:42,Jets,Chandler Catanzaro 46 yard field goal,22,20
9,4.0,5:19,Falcons,Matt Bryant 29 yard field goal,25,20
