,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Merril Hoge 12 yard pass from Bubby Brister (Gary Anderson kick),7,0
1,1.0,Eagles,Jim McMahon 1 yard rush (Roger Ruzek kick),7,7
2,1.0,Steelers,Eric Green 8 yard pass from Bubby Brister (Gary Anderson kick),14,7
3,2.0,Eagles,Roger Ruzek 27 yard field goal,14,10
4,2.0,Eagles,Roger Ruzek 34 yard field goal,14,13
5,3.0,Eagles,Robert Drummond 2 yard rush (Roger Ruzek kick),14,20
6,4.0,Eagles,Roger Ruzek 20 yard field goal,14,23
