,Quarter,Tm,Detail,SEA,KAN
0,1.0,Chiefs,James Saxon 2 yard rush (Nick Lowery kick),0,7
1,2.0,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),0,14
2,2.0,Seahawks,Ray Butler 12 yard pass from Dave Krieg (Norm Johnson kick),7,14
3,3.0,Seahawks,Terry Taylor 27 yard interception return (Norm Johnson kick),14,14
4,3.0,Chiefs,Nick Lowery 34 yard field goal,14,17
5,4.0,Chiefs,Steve DeBerg 1 yard rush (Nick Lowery kick),14,24
6,4.0,Seahawks,Norm Johnson 32 yard field goal,17,24
7,4.0,Seahawks,Brian Blades 14 yard pass from Dave Krieg (Norm Johnson kick),24,24
8,4.0,Chiefs,Nick Lowery 40 yard field goal,24,27
