,Quarter,Time,Tm,Detail,PHI,CIN
0,2.0,14:12,Bengals,Shayne Graham 20 yard field goal,0,3
1,2.0,11:12,Eagles,David Akers 42 yard field goal,3,3
2,2.0,0:33,Bengals,T.J. Houshmandzadeh 26 yard pass from Ryan Fitzpatrick (Shayne Graham kick),3,10
3,3.0,10:25,Bengals,Shayne Graham 41 yard field goal,3,13
4,3.0,9:29,Eagles,L.J. Smith 4 yard pass from Donovan McNabb (David Akers kick),10,13
5,4.0,5:18,Eagles,David Akers 27 yard field goal,13,13
