,Quarter,Time,Tm,Detail,JAX,PIT
0,2,,Jaguars,Willie Jackson 8 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2,,Jaguars,Mike Hollis 20 yard field goal,10,0
2,3,,Steelers,Courtney Hawkins 28 yard pass from Kordell Stewart (Norm Johnson kick),10,7
3,4,,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),10,14
4,4,,Jaguars,Pete Mitchell 3 yard pass from Mark Brunell (Mike Hollis kick),17,14
5,4,,Steelers,Norm Johnson 19 yard field goal,17,17
6,OT,,Steelers,Jerome Bettis 17 yard pass from Kordell Stewart,17,23
