,Quarter,Tm,Detail,GNB,FRN
0,1.0,Yellow Jackets,Tex Hamer 18 yard rush,0,6
1,1.0,Yellow Jackets,Ben Jones unknown yard rush (Johnny Budd kick),0,13
2,2.0,Packers,Cully Lidberg unknown yard rush (Pid Purdy kick),7,13
3,4.0,Packers,Dick Flaherty unknown yard pass from Curly Lambeau (Pid Purdy kick),14,13
4,4.0,Yellow Jackets,Two-Bits Homan 38 yard pass from Hust Stockton (Paul Hogan kick),14,20
