,Quarter,Tm,Detail,ATL,MIA
0,1.0,Dolphins,Joe Rose 7 yard pass from Don Strock (Uwe von Schamann kick),0,7
1,2.0,Falcons,Mick Luckhurst 35 yard field goal,3,7
2,2.0,Dolphins,Uwe von Schamann 18 yard field goal,3,10
3,2.0,Dolphins,Tony Nathan 15 yard pass from Don Strock (Uwe von Schamann kick),3,17
4,3.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),10,17
5,3.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),10,24
6,3.0,Dolphins,David Overstreet 13 yard rush (Uwe von Schamann kick),10,31
7,4.0,Falcons,William Andrews 24 yard rush (Mick Luckhurst kick),17,31
8,4.0,Falcons,Floyd Hodge 4 yard pass from Steve Bartkowski (Mick Luckhurst kick),24,31
