,Quarter,Time,Tm,Detail,JAX,HOU
0,1.0,,Jaguars,Ryan Christopherson 1 yard rush (Mike Hollis kick),7,0
1,1.0,,Jaguars,Mike Hollis 22 yard field goal,10,0
2,2.0,,Oilers,Al Del Greco 29 yard field goal,10,3
3,2.0,,Oilers,Al Del Greco 53 yard field goal,10,6
4,3.0,,Oilers,Rodney Thomas 17 yard pass from Chris Chandler (Al Del Greco kick),10,13
5,4.0,,Oilers,Al Del Greco 32 yard field goal,10,16
6,4.0,,Jaguars,Desmond Howard 15 yard pass from Mark Brunell (Mike Hollis kick),17,16
