,Quarter,Tm,Detail,GNB,PHI
0,1.0,Packers,Paul Hornung 20 yard field goal,3,0
1,2.0,Packers,Paul Hornung 20 yard field goal,6,0
2,2.0,Eagles,Tommy McDonald 35 yard pass from Norm Van Brocklin (Bobby Walston kick),6,7
3,2.0,Eagles,Bobby Walston 15 yard field goal,6,10
4,4.0,Packers,Max McGee 7 yard pass from Bart Starr (Paul Hornung kick),13,10
5,4.0,Eagles,Ted Dean 5 yard rush (Bobby Walston kick),13,17
