,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,12:32,Vikings,Randy Moss 24 yard pass from Daunte Culpepper (Gary Anderson kick),0,7
1,1.0,6:51,Vikings,D'Wayne Bates 18 yard pass from Daunte Culpepper (Gary Anderson kick),0,14
2,2.0,0:43,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),7,14
3,3.0,9:00,Vikings,Daunte Culpepper 1 yard rush (Gary Anderson kick),7,21
4,3.0,5:36,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick),14,21
5,4.0,11:53,Packers,Donald Driver 84 yard pass from Brett Favre (Ryan Longwell kick),21,21
6,4.0,7:16,Vikings,Gary Anderson 32 yard field goal,21,24
7,4.0,1:56,Vikings,Moe Williams 3 yard rush (Gary Anderson kick),21,31
