,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Thurman Thomas 3 yard rush (Scott Norwood kick),7,0
1,2.0,Patriots,Jason Staurovsky 34 yard field goal,7,3
2,2.0,Patriots,Jason Staurovsky 24 yard field goal,7,6
3,2.0,Bills,Scott Norwood 31 yard field goal,10,6
4,3.0,Patriots,Patrick Egu 15 yard rush (Jason Staurovsky kick),10,13
5,4.0,Bills,Larry Kinnebrew 1 yard rush (Scott Norwood kick),17,13
6,4.0,Bills,Thurman Thomas 25 yard pass from Jim Kelly (Scott Norwood kick),24,13
7,4.0,Patriots,Hart Lee Dykes 14 yard pass from Steve Grogan (Jason Staurovsky kick),24,20
8,4.0,Patriots,Jason Staurovsky 34 yard field goal,24,23
9,4.0,Patriots,Maurice Hurst 16 yard interception return (Jason Staurovsky kick),24,30
10,4.0,Patriots,Jason Staurovsky 38 yard field goal,24,33
