,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Erich Barnes 20 yard interception return (George Blanda kick),7,0
1,1.0,Rams,Billy Wade 3 yard rush (Paige Cothren kick),7,7
2,1.0,Rams,Paige Cothren 19 yard field goal,7,10
3,1.0,Rams,Tommy Wilson 9 yard rush (Paige Cothren kick),7,17
4,2.0,Rams,Leon Clarke 5 yard pass from Billy Wade (Paige Cothren kick),7,24
5,2.0,Rams,Tommy Wilson 38 yard pass from Billy Wade (Paige Cothren kick),7,31
6,2.0,Bears,Bill McColl 10 yard pass from Zeke Bratkowski (George Blanda kick),14,31
7,3.0,Bears,Willie Galimore 12 yard pass from Zeke Bratkowski (George Blanda kick),21,31
8,3.0,Rams,Tommy Wilson 3 yard rush (Paige Cothren kick),21,38
9,3.0,Rams,Paige Cothren 22 yard field goal,21,41
10,4.0,Bears,Rick Casares 5 yard rush (George Blanda kick),28,41
11,4.0,Bears,Bill McColl 25 yard pass from Zeke Bratkowski (George Blanda kick),35,41
