,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,7:39,Buccaneers,Martin Gramatica 25 yard field goal,3,0
1,1.0,0:44,Vikings,Cris Carter 13 yard pass from Daunte Culpepper (Gary Anderson kick),3,7
2,2.0,2:55,Vikings,Gary Anderson 24 yard field goal,3,10
3,2.0,0:16,Buccaneers,Martin Gramatica 25 yard field goal,6,10
4,3.0,6:57,Buccaneers,Martin Gramatica 49 yard field goal,9,10
5,3.0,1:44,Vikings,Gary Anderson 29 yard field goal,9,13
6,4.0,12:40,Buccaneers,Warrick Dunn 6 yard rush (Martin Gramatica kick),16,13
7,4.0,1:03,Vikings,Daunte Culpepper 8 yard rush (Gary Anderson kick),16,20
