,Quarter,Time,Tm,Detail,SDG,IND
0,1.0,9:13,Chargers,Keenan McCardell 29 yard pass from Drew Brees (Nate Kaeding kick),7,0
1,1.0,1:56,Chargers,Nate Kaeding 36 yard field goal,10,0
2,2.0,0:15,Chargers,Nate Kaeding 20 yard field goal,13,0
3,3.0,9:30,Chargers,Nate Kaeding 48 yard field goal,16,0
4,3.0,6:41,Colts,Mike Vanderjagt 32 yard field goal,16,3
5,3.0,3:42,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),16,10
6,3.0,0:40,Colts,Dallas Clark 1 yard pass from Peyton Manning (Mike Vanderjagt kick),16,17
7,4.0,6:41,Chargers,Nate Kaeding 49 yard field goal,19,17
8,4.0,2:09,Chargers,Michael Turner 83 yard rush (Nate Kaeding kick),26,17
