,Quarter,Time,Tm,Detail,TAM,CLE
0,1.0,5:59,Browns,Billy Cundiff 49 yard field goal,0,3
1,2.0,13:34,Browns,Billy Cundiff 29 yard field goal,0,6
2,2.0,8:44,Buccaneers,Mike Evans 24 yard pass from Mike Glennon (Patrick Murray kick),7,6
3,2.0,2:25,Buccaneers,Patrick Murray 40 yard field goal,10,6
4,2.0,0:00,Browns,Billy Cundiff 43 yard field goal,10,9
5,3.0,9:10,Browns,Terrance West 2 yard pass from Brian Hoyer (Billy Cundiff kick),10,16
6,3.0,2:49,Buccaneers,Mike Evans 24 yard pass from Mike Glennon (Patrick Murray kick),17,16
7,4.0,8:59,Browns,Taylor Gabriel 34 yard pass from Brian Hoyer (pass failed),17,22
