,Quarter,Tm,Detail,GNB,MIN
0,2.0,Vikings,Stu Voigt 1 yard rush (Fred Cox kick),0,7
1,3.0,Packers,Chester Marcol 36 yard field goal,3,7
2,3.0,Packers,Scott Hunter 1 yard rush (Chester Marcol kick),10,7
3,3.0,Packers,MacArthur Lane 3 yard rush (Chester Marcol kick),17,7
4,4.0,Packers,Chester Marcol 42 yard field goal,20,7
5,4.0,Packers,Chester Marcol 10 yard field goal,23,7
