,Quarter,Tm,Detail,GNB,PHI
0,1.0,Eagles,Fran Murray 30 yard field goal,0,3
1,1.0,Packers,Andy Uram 21 yard pass from Arnie Herber (Tiny Engebretsen kick),7,3
2,2.0,Packers,Charley Brock 42 yard interception return,13,3
3,3.0,Packers,Clarke Hinkle 9 yard rush (Ernie Smith kick),20,3
4,3.0,Eagles,Chuck Newton 22 yard pass from Davey O'Brien (Fran Murray kick),20,10
5,4.0,Eagles,Joe Bukant 3 yard rush,20,16
6,4.0,Packers,Tiny Engebretsen 27 yard field goal,23,16
