,Quarter,Time,Tm,Detail,JAX,MIN
0,1.0,,Vikings,Gary Anderson 48 yard field goal,0,3
1,2.0,,Vikings,Gary Anderson 53 yard field goal,0,6
2,2.0,1:56,Vikings,Andrew Glover 13 yard pass from Randall Cunningham (pass failed),0,12
3,2.0,0:02,Jaguars,Mike Hollis 25 yard field goal,3,12
4,3.0,0:02,Vikings,Randy Moss 43 yard pass from Randall Cunningham (Gary Anderson kick),3,19
5,3.0,0:02,Vikings,Andrew Glover 14 yard pass from Randall Cunningham (Gary Anderson kick),3,26
6,4.0,0:02,Vikings,Cris Carter 1 yard pass from Brad Johnson (Gary Anderson kick),3,33
7,4.0,0:02,Vikings,Gary Anderson 44 yard field goal,3,36
8,4.0,7:46,Vikings,Jimmy Hitchcock 30 yard interception return (Gary Anderson kick),3,43
9,4.0,7:03,Vikings,Charles Evans 1 yard rush (Gary Anderson kick),3,50
10,4.0,7:03,Jaguars,Pete Mitchell 1 yard pass from Jonathan Quinn (Mike Hollis kick),10,50
