,Quarter,Tm,Detail,SFO,TAM
0,1.0,Buccaneers,Donald Igwebuike 23 yard field goal,0,3
1,2.0,49ers,Mike Cofer 47 yard field goal,3,3
2,2.0,49ers,Mike Cofer 32 yard field goal,6,3
3,3.0,Buccaneers,Donald Igwebuike 44 yard field goal,6,6
4,3.0,Buccaneers,Donald Igwebuike 37 yard field goal,6,9
5,4.0,49ers,Jerry Rice 2 yard pass from Joe Montana (Mike Cofer kick),13,9
6,4.0,Buccaneers,Mark Carrier 18 yard pass from Vinny Testaverde (Donald Igwebuike kick),13,16
7,4.0,49ers,Joe Montana 4 yard rush (Mike Cofer kick),20,16
