,Quarter,Time,Tm,Detail,SDG,CIN
0,1.0,12:04,Bengals,Tony McGee 12 yard pass from Jeff Blake (Doug Pelfrey kick),0,7
1,1.0,9:28,Chargers,John Carney 27 yard field goal,3,7
2,1.0,3:07,Chargers,John Carney 23 yard field goal,6,7
3,1.0,1:39,Chargers,Natrone Means 12 yard pass from Jim Harbaugh (John Carney kick),13,7
4,2.0,2:08,Chargers,Jeff Graham 29 yard pass from Jim Harbaugh (John Carney kick),20,7
5,2.0,0:54,Chargers,Gerald Dixon 27 yard defensive fumble return (Mikhael Ricks pass from Jim Harbaugh ),28,7
6,3.0,4:45,Chargers,John Carney 21 yard field goal,31,7
7,4.0,14:50,Chargers,John Carney 42 yard field goal,34,7
