,Quarter,Tm,Detail,WAS,DET
0,1.0,Lions,Benny Ricardo 27 yard field goal,0,3
1,2.0,Redskins,Ricky Thompson 8 yard pass from Joe Theismann (Mark Moseley kick),7,3
2,2.0,Redskins,Mark Moseley 35 yard field goal,10,3
3,2.0,Redskins,Benny Malone 5 yard rush (Mark Moseley kick),17,3
4,3.0,Redskins,Jean Fugett 3 yard pass from Joe Theismann (Mark Moseley kick),24,3
5,4.0,Lions,Bo Robinson 2 yard rush (Benny Ricardo kick),24,10
6,4.0,Lions,Rick Kane 12 yard rush (Benny Ricardo kick),24,17
7,4.0,Lions,Freddie Scott 24 yard pass from Jeff Komlo (Benny Ricardo kick),24,24
8,4.0,Redskins,Mark Moseley 41 yard field goal,27,24
