,Quarter,Time,Tm,Detail,LAC,SEA
0,1.0,6:55,Seahawks,Jaron Brown 10 yard pass from Russell Wilson (Sebastian Janikowski kick),0,7
1,1.0,0:00,Chargers,Tyrell Williams 12 yard pass from Philip Rivers (Caleb Sturgis kick failed),6,7
2,2.0,11:36,Chargers,Melvin Gordon 34 yard rush (pass failed),12,7
3,2.0,1:10,Chargers,Mike Williams 30 yard pass from Philip Rivers (Caleb Sturgis kick),19,7
4,2.0,0:00,Seahawks,Sebastian Janikowski 44 yard field goal,19,10
5,4.0,6:44,Chargers,Desmond King 42 yard interception return (Caleb Sturgis kick failed),25,10
6,4.0,1:50,Seahawks,Nick Vannett 6 yard pass from Russell Wilson (Sebastian Janikowski kick),25,17
