,Quarter,Tm,Detail,MIN,SFO
0,1.0,Vikings,Mike Tice 3 yard pass from Jim McMahon (Fuad Reveiz kick),7,0
1,1.0,49ers,Jerry Rice 39 yard pass from Steve Young (Mike Cofer kick),7,7
2,2.0,49ers,Marc Logan 1 yard rush (Mike Cofer kick),7,14
3,2.0,49ers,Eric Davis 41 yard interception return (Mike Cofer kick),7,21
4,2.0,Vikings,"Safety, H. Thomas tackled Young in end zone",9,21
5,3.0,49ers,Mike Cofer 22 yard field goal,9,24
6,3.0,Vikings,Fuad Reveiz 21 yard field goal,12,24
7,4.0,Vikings,Cris Carter 9 yard pass from Jim McMahon (Fuad Reveiz kick),19,24
8,4.0,49ers,Ricky Watters 3 yard rush (Mike Cofer kick),19,31
9,4.0,49ers,Dexter Carter 72 yard punt return (Mike Cofer kick),19,38
