,Quarter,Time,Tm,Detail,HOU,TEN
0,1.0,9:37,Texans,Jonathan Grimes 3 yard rush (Randy Bullock kick),7,0
1,2.0,9:45,Titans,Rob Bironas 42 yard field goal,7,3
2,2.0,0:00,Titans,Rob Bironas 55 yard field goal,7,6
3,3.0,5:39,Titans,Chris Johnson 11 yard rush (Rob Bironas kick),7,13
4,4.0,10:44,Titans,Rob Bironas 37 yard field goal,7,16
5,4.0,2:53,Texans,Randy Bullock 19 yard field goal,10,16
