,Quarter,Tm,Detail,MIA,NWE
0,1,Dolphins,Pete Stoyanovich 38 yard field goal,3,0
1,1,Patriots,Sam Gash 1 yard rush (Charlie Baumann kick),3,7
2,2,Patriots,Charlie Baumann 25 yard field goal,3,10
3,2,Patriots,Charlie Baumann 29 yard field goal,3,13
4,3,Dolphins,Pete Stoyanovich 23 yard field goal,6,13
5,4,Dolphins,Bobby Humphrey 1 yard rush (Pete Stoyanovich kick),13,13
6,OT,Dolphins,Pete Stoyanovich 35 yard field goal,16,13
