,Quarter,Tm,Detail,TAM,CHI
0,1.0,Bears,Bob Thomas 29 yard field goal,0,3
1,2.0,Buccaneers,Gerald Carter 74 yard pass from Jack Thompson (Obed Ariri kick),7,3
2,2.0,Bears,Bob Thomas 32 yard field goal,7,6
3,2.0,Bears,Jim McMahon 9 yard rush (Bob Thomas kick),7,13
4,3.0,Bears,Willie Gault 21 yard pass from Jim McMahon (Bob Thomas kick),7,20
5,3.0,Bears,Matt Suhey 1 yard rush (Bob Thomas kick),7,27
6,4.0,Bears,Anthony Hutchison 1 yard rush (Bob Thomas kick),7,34
7,4.0,Buccaneers,James Owens 4 yard pass from Steve DeBerg (Obed Ariri kick),14,34
