,Quarter,Time,Tm,Detail,MIA,CLE
0,1.0,10:03,Browns,Jarvis Landry 7 yard pass from Baker Mayfield (Austin Seibert kick),0,7
1,1.0,1:59,Browns,Odell Beckham Jr. 35 yard pass from Baker Mayfield (Austin Seibert kick),0,14
2,2.0,10:37,Browns,Jarvis Landry 5 yard pass from Baker Mayfield (Austin Seibert kick),0,21
3,2.0,1:06,Browns,Kareem Hunt 6 yard rush (Austin Seibert kick),0,28
4,2.0,0:01,Dolphins,Jason Sanders 36 yard field goal,3,28
5,3.0,9:42,Dolphins,Mike Gesicki 11 yard pass from Ryan Fitzpatrick (Jason Sanders kick),10,28
6,3.0,0:10,Dolphins,Ryan Fitzpatrick 8 yard rush (Jason Sanders kick),17,28
7,4.0,11:25,Browns,Austin Seibert 40 yard field goal,17,31
8,4.0,6:54,Browns,Austin Seibert 26 yard field goal,17,34
9,4.0,3:32,Browns,Nick Chubb 5 yard rush (Austin Seibert kick),17,41
10,4.0,0:48,Dolphins,Allen Hurns 19 yard pass from Ryan Fitzpatrick (Jason Sanders kick),24,41
