,Quarter,Time,Tm,Detail,HOU,PHI
0,1.0,,Oilers,Al Del Greco 21 yard field goal,3,0
1,2.0,,Eagles,Charlie Garner 1 yard rush (Eddie Murray kick),3,7
2,2.0,,Oilers,Al Del Greco 24 yard field goal,6,7
3,3.0,4:35,Eagles,Fred Barnett 53 yard pass from Randall Cunningham (Eddie Murray kick),6,14
4,4.0,4:35,Eagles,James Joseph 35 yard pass from Randall Cunningham (Eddie Murray kick),6,21
