,Quarter,Time,Tm,Detail,OAK,BAL
0,1.0,,Ravens,Vinny Testaverde 9 yard rush (Matt Stover kick),0,7
1,2.0,,Raiders,Tim Brown 7 yard pass from Billy Joe Hobert (Cole Ford kick),7,7
2,2.0,,Raiders,Tim Brown 10 yard pass from Billy Joe Hobert (Cole Ford kick),14,7
3,3.0,,Ravens,Matt Stover 25 yard field goal,14,10
4,3.0,,Ravens,Matt Stover 37 yard field goal,14,13
5,4.0,,Ravens,Earnest Byner 1 yard rush (pass failed),14,19
