,Quarter,Time,Tm,Detail,DAL,ATL
0,1.0,,Falcons,Eric Metcalf 42 yard pass from Jeff George (Morten Andersen kick),0,7
1,2.0,,Falcons,Morten Andersen 21 yard field goal,0,10
2,2.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),7,10
3,2.0,,Cowboys,Jay Novacek 1 yard pass from Troy Aikman (Chris Boniol kick),14,10
4,3.0,,Cowboys,Michael Irvin 43 yard pass from Troy Aikman (Chris Boniol kick),21,10
5,3.0,,Falcons,Morten Andersen 40 yard field goal,21,13
6,4.0,,Cowboys,Daryl Johnston 8 yard rush (Chris Boniol kick),28,13
