,Quarter,Tm,Detail,SEA,DAL
0,1.0,Cowboys,Emmitt Smith 2 yard rush (Lin Elliott kick),0,7
1,2.0,Cowboys,Emmitt Smith 1 yard rush (Lin Elliott kick),0,14
2,2.0,Cowboys,Lin Elliott 31 yard field goal,0,17
3,2.0,Cowboys,Lin Elliott 51 yard field goal,0,20
4,3.0,Cowboys,Ray Horton 15 yard interception return (Lin Elliott kick),0,27
