,Quarter,Time,Tm,Detail,CLE,KAN
0,1.0,10:13,Browns,Phil Dawson 47 yard field goal,3,0
1,1.0,4:12,Chiefs,Ryan Succop 30 yard field goal,3,3
2,1.0,3:56,Browns,Josh Cribbs 100 yard kickoff return (Phil Dawson kick),10,3
3,2.0,12:32,Browns,Phil Dawson 30 yard field goal,13,3
4,2.0,10:04,Chiefs,Chris Chambers 9 yard pass from Matt Cassel (Ryan Succop kick),13,10
5,2.0,4:10,Chiefs,Jamaal Charles 47 yard rush (Ryan Succop kick),13,17
6,2.0,2:44,Chiefs,Andy Studebaker -21 yard defensive fumble return (Ryan Succop kick),13,24
7,2.0,2:31,Browns,Josh Cribbs 103 yard kickoff return (Phil Dawson kick),20,24
8,3.0,13:16,Browns,Jerome Harrison 71 yard rush (Phil Dawson kick),27,24
9,4.0,12:09,Browns,Jerome Harrison 8 yard rush (Phil Dawson kick),34,24
10,4.0,8:08,Chiefs,Ryan Succop 27 yard field goal,34,27
11,4.0,2:20,Chiefs,Mark Bradley 12 yard pass from Matt Cassel (Ryan Succop kick),34,34
12,4.0,0:44,Browns,Jerome Harrison 28 yard rush (Phil Dawson kick),41,34
