,Quarter,Tm,Detail,RAM,NYG
0,1.0,Giants,Pete Gogolak 42 yard field goal,0,3
1,1.0,Rams,Pat Studstill 5 yard pass from Roman Gabriel (David Ray kick),7,3
2,2.0,Rams,Pat Studstill 40 yard pass from Roman Gabriel (David Ray kick),14,3
3,2.0,Rams,Willie Ellison 4 yard rush (David Ray kick),21,3
4,2.0,Rams,David Ray 25 yard field goal,24,3
5,3.0,Rams,Les Josephson 1 yard rush (David Ray kick),31,3
