,Quarter,Time,Tm,Detail,BAL,CLE
0,2.0,9:51,Ravens,Brandon Stokley 30 yard pass from Chris Redman (Matt Stover kick),7,0
1,2.0,5:46,Ravens,Matt Stover 43 yard field goal,10,0
2,2.0,0:00,Ravens,Matt Stover 28 yard field goal,13,0
3,3.0,13:21,Ravens,Brandon Stokley 35 yard pass from Chris Redman (Matt Stover kick),20,0
4,3.0,3:01,Ravens,Matt Stover 27 yard field goal,23,0
5,4.0,14:15,Browns,Mark Campbell 2 yard pass from Tim Couch (Quincy Morgan run),23,8
6,4.0,7:53,Browns,Dennis Northcutt 37 yard pass from Kelly Holcomb (Phil Dawson kick),23,15
7,4.0,3:30,Ravens,Matt Stover 28 yard field goal,26,15
8,4.0,0:58,Browns,Dennis Northcutt 17 yard pass from Kelly Holcomb (run failed),26,21
