,Quarter,Tm,Detail,CLE,DET
0,1.0,Panthers,Jimmy Conzelman unknown yard pass from Dick Vick,0,6
1,1.0,Panthers,Jimmy Conzelman unknown yard pass from Dick Vick (Gus Sonnenberg kick),0,13
2,2.0,Bulldogs,Dave Noble unknown yard rush (Doc Elliott kick),7,13
3,2.0,Panthers,Al Hadden unknown yard pass from Dick Vick,7,19
4,3.0,Panthers,Gus Sonnenberg 35 yard field goal,7,22
5,3.0,Bulldogs,Dick Wolf unknown yard pass from Al Michaels,13,22
