,Quarter,Time,Tm,Detail,KAN,MIN
0,1.0,5:40,Vikings,Blair Walsh 24 yard field goal,0,3
1,2.0,4:43,Vikings,Kyle Rudolph 4 yard pass from Teddy Bridgewater (Blair Walsh kick),0,10
2,3.0,8:51,Vikings,Blair Walsh 45 yard field goal,0,13
3,4.0,13:10,Chiefs,Cairo Santos 48 yard field goal,3,13
4,4.0,8:46,Chiefs,Albert Wilson 42 yard pass from Alex Smith (Cairo Santos kick),10,13
5,4.0,4:46,Vikings,Blair Walsh 45 yard field goal,10,16
