,Quarter,Tm,Detail,CLE,STL
0,1.0,Browns,Lou Groza 22 yard field goal,3,0
1,2.0,Cardinals,Joe Childress 46 yard pass from Charley Johnson (Jim Bakken kick),3,7
2,2.0,Cardinals,Charley Johnson 1 yard rush (Jim Bakken kick),3,14
3,2.0,Cardinals,Bobby Joe Conrad 8 yard pass from Charley Johnson (Jim Bakken kick),3,21
4,2.0,Browns,Lou Groza 39 yard field goal,6,21
5,3.0,Browns,Lou Groza 17 yard field goal,9,21
6,3.0,Cardinals,Charley Johnson 1 yard rush (Jim Bakken kick),9,28
7,4.0,Browns,Lou Groza 36 yard field goal,12,28
8,4.0,Browns,Ernie Green 30 yard pass from Frank Ryan (Lou Groza kick),19,28
