,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,,Broncos,Ed McCaffrey 1 yard pass from John Elway (Jason Elam kick),7,0
1,2.0,,Raiders,Greg Davis 44 yard field goal,7,3
2,2.0,,Raiders,Eric Turner 94 yard interception return (Greg Davis kick),7,10
3,2.0,,Broncos,Jason Elam 35 yard field goal,10,10
4,2.0,0:40,Broncos,Howard Griffith 3 yard pass from Bubby Brister (Jason Elam kick),17,10
5,3.0,0:40,Broncos,Ed McCaffrey 13 yard pass from Bubby Brister (Jason Elam kick),24,10
6,3.0,0:40,Raiders,Rickey Dudley 11 yard pass from Jeff George (Greg Davis kick),24,17
7,4.0,0:40,Broncos,Jason Elam 35 yard field goal,27,17
8,4.0,0:40,Broncos,Ray Crockett 80 yard interception return (Jason Elam kick),34,17
