,Quarter,Tm,Detail,CHI,BKN
0,1.0,Dodgers,Shipwreck Kelly 41 yard rush (Ralph Kercheval kick),0,7
1,1.0,Bears,Beattie Feathers 26 yard rush (Jack Manders kick),7,7
2,3.0,Bears,Johnny Sisk 16 yard rush (Bernie Masterson kick),14,7
3,4.0,Bears,Jack Manders unknown yard rush (Jack Manders kick),21,7
