,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Paul McDonough 14 yard pass from Parker Hall (Chet Adams kick),0,7
1,1.0,Packers,Carl Mulleneaux 14 yard pass from Cecil Isbell (Don Hutson kick),7,7
2,3.0,Packers,Clarke Hinkle 1 yard rush (Don Hutson kick),14,7
3,4.0,Rams,Johnny Drake 1 yard rush (Chet Adams kick),14,14
4,4.0,Packers,Don Hutson 13 yard field goal,17,14
