,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Mike Rozier 2 yard rush (pass failed),6,0
1,2.0,Oilers,Tony Zendejas 50 yard field goal,9,0
2,2.0,Oilers,"Safety, Seale blocked punt out of end zone",11,0
3,2.0,Oilers,Ernest Givins 43 yard pass from Warren Moon (Tony Zendejas kick),18,0
4,2.0,Steelers,Charles Lockett 9 yard pass from Todd Blackledge (Gary Anderson kick),18,7
5,3.0,Oilers,Allen Pinkett 1 yard rush (Tony Zendejas kick),25,7
6,4.0,Oilers,Tony Zendejas 27 yard field goal,28,7
7,4.0,Oilers,Drew Hill 24 yard pass from Warren Moon,34,7
8,4.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),34,14
