,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Brian Brennan 14 yard pass from Paul McDonald (Matt Bahr kick),0,7
1,1.0,Oilers,Keith Bostic 25 yard defensive fumble return (Joe Cooper kick),7,7
2,2.0,Browns,Matt Bahr 18 yard field goal,7,10
3,2.0,Browns,Ozzie Newsome 12 yard pass from Paul McDonald (Matt Bahr kick),7,17
4,2.0,Browns,Matt Bahr 29 yard field goal,7,20
5,4.0,Oilers,Joe Cooper 39 yard field goal,10,20
6,4.0,Browns,Brian Brennan 7 yard pass from Paul McDonald (Matt Bahr kick),10,27
