,Quarter,Tm,Detail,PHI,SFO
0,2.0,Eagles,Tony Franklin 32 yard field goal,3,0
1,2.0,49ers,Wendell Tyler 32 yard rush (Ray Wersching kick),3,7
2,2.0,49ers,Ray Wersching 23 yard field goal,3,10
3,3.0,Eagles,Michael Haddix 1 yard rush,9,10
4,3.0,Eagles,Tony Franklin 30 yard field goal,12,10
5,3.0,Eagles,Hubie Oliver 17 yard pass from Joe Pisarcik (Tony Franklin kick),19,10
6,4.0,Eagles,Tony Franklin 47 yard field goal,22,10
7,4.0,49ers,Earl Cooper 73 yard pass from Guy Benjamin (Ray Wersching kick),22,17
