,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Preston Carpenter 43 yard pass from Milt Plum (Lou Groza kick),7,0
1,2.0,Eagles,Billy Ray Barnes 27 yard rush (Bobby Walston kick),7,7
2,2.0,Browns,Bobby Mitchell 5 yard rush (Lou Groza kick),14,7
3,2.0,Eagles,Don Owens 3 yard fumble return (Bobby Walston kick),14,14
4,2.0,Eagles,Bobby Walston 18 yard pass from Norm Van Brocklin (Bobby Walston kick),14,21
5,4.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),21,21
6,4.0,Browns,Jim Brown 4 yard rush (Lou Groza kick),28,21
