,Quarter,Tm,Detail,GNB,CRD
0,4.0,Packers,George Abramson 30 yard field goal,3,0
1,4.0,Packers,George Abramson 35 yard field goal,6,0
2,4.0,Cardinals,Eddie Anderson unknown yard pass from Red Dunn,6,6
3,4.0,Cardinals,Paddy Driscoll 27 yard field goal,6,9
