,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Frank Corral 27 yard field goal,3,0
1,2.0,Rams,Cullen Bryant 6 yard rush (Frank Corral kick),10,0
2,2.0,Giants,Gary Shirk 4 yard pass from Joe Pisarcik (Joe Danelo kick),10,7
3,3.0,Giants,Joe Danelo 27 yard field goal,10,10
4,4.0,Rams,Pat Thomas 33 yard interception return (Frank Corral kick),17,10
5,4.0,Rams,Frank Corral 35 yard field goal,20,10
6,4.0,Giants,Willie Spencer 1 yard rush (Joe Danelo kick),20,17
