,Quarter,Time,Tm,Detail,SDG,ATL
0,1.0,,Falcons,Terance Mathis 9 yard pass from Jeff George (Norm Johnson kick),0,7
1,2.0,,Chargers,John Carney 50 yard field goal,3,7
2,3.0,,Chargers,John Carney 33 yard field goal,6,7
3,3.0,,Falcons,Norm Johnson 23 yard field goal,6,10
4,4.0,,Chargers,John Carney 49 yard field goal,9,10
