,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,Ed Sprinkle 34 yard pass from Sid Luckman (Joe Stydahar kick),0,7
1,2.0,Eagles,Dick Humbert 21 yard pass from Tommy Thompson (Augie Lio kick),7,7
2,3.0,Bears,Hugh Gallarneau 2 yard rush (Joe Stydahar kick),7,14
3,3.0,Bears,Hugh Gallarneau 2 yard rush (Joe Stydahar kick),7,21
4,4.0,Eagles,Jim Castiglia 2 yard rush (Augie Lio kick),14,21
